素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,daily_aligned_cpa_saving,daily_aligned_cpi_saving,explain_share_of_net_saving,old_same_theme_best_package,old_same_theme_spend,old_same_theme_subs,old_same_theme_cpa,old_same_theme_cpi,old_same_theme_sub_rate,same_theme_cpa_gap_old_minus_new,same_theme_amount_at_new_subs
新选题,英语,在现场看时装秀,创意搜集QCH,创意提需QCH,模板制作CF,素材制作FDJ,20260309,3.45,9.0,0.0,0.0,3,,0.38333333333333336,0.0,0.0,-3.45,-2.2057300315265485,-0.00020016046482589076,,,,,,,,
新选题,英语,测测你适合的婚纱风格,创意搜集ZHC,创意提需ZHC,模板制作ZN,素材制作ZN,20260310,6.71,39.0,1.0,-1.81,7,6.71,0.17205128205128206,0.02564102564102564,-0.26974664679582716,-3.691790894439968,-0.7908551305913718,-0.0002141885743394478,,,,,,,,
老选题,英语,舞蹈转场二号+中老年白发女模特+原,创意搜集ZHC,创意提需TXH,模板制作ZXL素材制作FDJ,20260319,"kr6aa,kr7tc,kd34g",34.74,135.0,15.0,37.1,6,2.3160000000000003,0.25733333333333336,0.1111111111111111,1.0679332181922856,-3.805738986388999,-17.95521083138703,-0.0002207995607309091,,,,,,,,
新选题,英语,AI美女念诗+单女+原,创意搜集QCH,创意提需QCH,模板制作MJ,素材制作FDJ,20260312,6.15,3.0,1.0,-1.26,2,6.15,2.0500000000000003,0.3333333333333333,-0.2048780487804878,-3.9709864130434784,-5.723567971921366,-0.00023038680760929832,,,,,,,,
老选题,英语,复制大人抖腿舞+新模版+竞,创意搜集TXH,创意提需人TXH,模板制作ZN,素材制作FDJ,20260311,8.93,35.0,2.0,0.76,2,4.465,0.2551428571428571,0.05714285714285714,0.0851063829787234,-4.053923727147631,-4.276527386574389,-0.00023519862538973256,,,,,,,,
新选题,英语,旗袍跳舞+女单+竞,创意搜集TXH,创意提需TXH,模板制作ZXL,素材制作WXR,20260312,10.67,21.0,3.0,3.79,4,3.5566666666666666,0.508095238095238,0.14285714285714285,0.35520149953139646,-4.132959239130434,-7.669650438943405,-0.00023978407026400216,,,,,,,,
新选题,英语,竞品复刻·双重曝光夕阳+下雨-测试,创意搜集ZXL,创意提需人ZXL,模板制作ZXL,素材制作WXR,26 0310,4.14,49.0,0.0,0.0,1,,0.08448979591836735,0.0,0.0,-4.14,3.3286366688369826,-0.00024019255779106886,,,,,,,,
老选题,英语,黑帮大佬+新模板+竞,创意搜集ZXL,创意提需ZXL,模板制作ZN,素材制作WXR,20260319,6.39,8.0,1.0,-1.5,4,6.39,0.79875,0.125,-0.2347417840375587,-4.277731350935657,-5.375741849122212,-0.0002481833900300193,,,,,,,,
新选题,英语,车内男友视角+女+竞,创意搜集TXH,创意提需TXH,模板制作FDJ,素材制作FDJ,20260324,7.06,13.0,1.0,-2.15,2,7.06,0.543076923076923,0.07692307692307693,-0.3045325779036827,-4.621961863573816,-5.334416439235833,-0.000268154792759558,,,,,,,,
新选题,英语,双重大学情侣+情侣+原,创意搜集QCH,创意提需QCH,模板制作ZN,素材制作ZN,20260313,4.63,3.0,0.0,0.0,3,,1.5433333333333332,0.0,0.0,-4.63,-4.1502977634360745,-0.000268621145548949,,,,,,,,
新选题,英语,竞品复刻aa23电影海报+3.09测试,创意搜集ZXL,创意提需ZXL,模板制作ZN,素材制作FDJ,20260309,4.99,7.0,0.0,0.0,3,,0.7128571428571429,0.0,0.0,-4.99,-4.034632289529247,-0.00028950745492208545,,,,,,,,
老选题,英语,双重曝光King3号+新模板+竞,创意搜集ZXL,创意提需ZXL,模板制作ZN,素材制作WXR,20260319,5.02,6.0,0.0,0.0,2,,0.8366666666666666,0.0,0.0,-5.02,-4.250715466931006,-0.00029124798070318013,,,,,,,,
老选题,英语,情侣跃出海平面+高种姓模特+原,创意搜集ZHC,创意提需TXH,模板制作MJ,素材制作FDJ,20260313,5.1,7.0,0.0,0.0,2,,0.7285714285714285,0.0,0.0,-5.1,-4.0492578613685035,-0.00029588938278609934,,,,,,,,
