素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,daily_aligned_cpa_saving,daily_aligned_cpi_saving,explain_share_of_net_saving,old_same_theme_best_package,old_same_theme_spend,old_same_theme_subs,old_same_theme_cpa,old_same_theme_cpi,old_same_theme_sub_rate,same_theme_cpa_gap_old_minus_new,same_theme_amount_at_new_subs
老选题,英语,传统热情舞蹈+中老年模特+原,创意搜集QCH,创意提需TXH,模板制作CF,素材制作WXR,20260401,10.71,20.0,3.0,3.75,1,3.5700000000000003,0.5355000000000001,0.15,0.35014005602240894,-2.1569621481721146,-8.016575790454942,0.0036862526417278554,,,,,,,,
老选题,英语,热歌热舞+低种姓女模特+原,创意搜集QCH,创意提需TXH,模板制作FDJ,素材制作ZN,20260408,8.44,25.0,2.0,1.23,3,4.22,0.33759999999999996,0.08,0.1457345971563981,-2.183841145833333,-5.013630088142168,0.0037321889026954527,,,,,,,,
新选题,英语,情侣拥抱淋雨+双人+竞,创意搜集ZXL,创意提需ZXL,模板制作FDJ,素材制作WXX,20260401,2.66,4.0,0.0,0.0,1,,0.665,0.0,0.0,-2.66,-2.1011120236785423,0.004545945340443532,CoupleLens,7073.28,2474.0,2.859046079223929,0.22499856856570283,0.07869707669306868,,
老选题,英语,双重情侣极光下赏月+双重曝光青年校服情侣+原,创意搜集TXH,创意提需TXH,模板制作WXR,素材制作FDJ,20260402,5.72,3.0,1.0,-0.85,1,5.72,1.9066666666666665,0.3333333333333333,-0.1486013986013986,-2.9406155819172812,-5.324141741632038,0.005025517933328011,,,,,,,,
老选题,英语,情侣拥抱淋雨+传统服饰青少年2+竞,创意搜集TXH,创意提需ZXL,模板制作FDJ,素材制作LQX,20260414,6.33,4.0,1.0,-1.44,2,6.33,1.5825,0.25,-0.22748815165876776,-3.1940707395498396,-5.8260475390776385,0.005458673306580308,,,,,,,,
新选题,印地语,集市奔跑+情侣+原,创意搜集ZJX,创意提需ZJX,模板制作ZXL,素材制作ZXL,20260402,11.85,12.0,3.0,2.64,4,3.9499999999999997,0.9874999999999999,0.25,0.2227848101265823,-3.2969621481721134,-10.233945474272964,0.005634514930489367,,,,,,,,
老选题,英语,双重曝光+高种姓单人女+竞,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作LQX,20260403,9.6,23.0,2.0,0.1,6,4.8,0.41739130434782606,0.08695652173913043,0.010416666666666668,-3.3097638436482084,-6.347551034256647,0.005656393053759793,,,,,,,,
老选题,印地语,扭腰传统舞+中老年模特+原,创意搜集QCH,创意提需TXH,模板制作ZXL,素材制作WXR,20260414,12.99,58.0,3.0,1.53,3,4.33,0.2239655172413793,0.05172413793103448,0.11778290993071594,-3.582212218649518,-5.683701184475687,0.006122007873627693,,,,,,,,
老选题,英语,双重情侣站在轮船上+高种姓模特+原,创意搜集LXQ,创意提需ZXL,模板制作LQX,素材制作LQX,20260402,3.75,2.0,0.0,0.0,1,,1.875,0.0,0.0,-3.75,-3.480657579045494,0.006408757528820769,,,,,,,,
老选题,英语,双重情侣站在轮船上+低种姓模特+原,创意搜集LXQ,创意提需ZXL,模板制作LQX,素材制作LQX,20260402,3.86,1.0,0.0,0.0,1,,3.86,0.0,0.0,-3.86,-3.725328789522747,0.006596747749666178,CoupleLens,125.45,46.0,2.7271739130434782,0.3001196172248804,0.11004784688995216,,
新选题,印地语,黑白壁纸大人和孩子+通用+原,创意搜集LXQ,创意提需LXQ,模板制作FDJ,素材制作WCK,20260402,4.01,4.0,0.0,0.0,1,,1.0025,0.0,0.0,-4.01,-3.471315158090988,0.006853098050819008,CoupleLens,107.25999999999999,26.0,4.125384615384615,0.20746615087040618,0.05029013539651837,,
老选题,英语,情侣玫瑰写真+下沉市场模特+竞,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作WXX,20260407,168.82999999999998,329.0,51.0,76.71000000000001,8,3.310392156862745,0.513161094224924,0.15501519756838905,0.45436237635491333,-4.259590658095481,-119.46123060346201,0.007279648986603741,,,,,,,,
